question,option_a,option_b,option_c,option_d,answer,category,difficulty
Choose the synonym of 'honest'.,small,truthful,weak,late,truthful,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",53,46,48,50,48,Puzzle,Hard
What is 45 + 90?,142,135,133,138,135,Quantitative,Hard
What is the square of 20?,400,401,399,405,400,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",I,L,J,K,J,Logical,Hard
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Easy
"If 2 workers finish a task in 2 days, how many worker-days are needed?",4,6,2,9,4,Puzzle,Medium
What is 36 + 38?,81,77,74,72,74,Quantitative,Easy
What is the square of 18?,329,325,324,323,324,Quantitative,Medium
"Find the next letter in the series: E, F, G, ?",I,G,H,J,H,Logical,Easy
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Easy
"If 6 workers finish a task in 4 days, how many worker-days are needed?",26,22,24,29,24,Puzzle,Medium
What is 59 + 71?,128,137,130,133,130,Quantitative,Hard
What is the square of 6?,41,37,36,35,36,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",S,T,V,U,T,Logical,Hard
Choose the synonym of 'honest'.,truthful,weak,small,late,truthful,Verbal,Hard
"If 2 workers finish a task in 4 days, how many worker-days are needed?",13,6,10,8,8,Puzzle,Hard
What is 33 + 67?,100,103,107,98,100,Quantitative,Medium
What is the square of 5?,30,24,25,26,25,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",M,P,N,O,N,Logical,Hard
Choose the synonym of 'honest'.,small,weak,truthful,late,truthful,Verbal,Medium
"If 5 workers finish a task in 8 days, how many worker-days are needed?",40,38,42,45,40,Puzzle,Hard
What is 54 + 14?,68,71,66,75,68,Quantitative,Easy
What is the square of 5?,26,30,25,24,25,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",I,J,L,K,J,Logical,Easy
Choose the synonym of 'honest'.,small,late,weak,truthful,truthful,Verbal,Medium
"If 4 workers finish a task in 7 days, how many worker-days are needed?",28,33,26,30,28,Puzzle,Medium
What is 54 + 10?,67,64,71,62,64,Quantitative,Easy
What is the square of 7?,49,50,48,54,49,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",R,S,U,T,S,Logical,Hard
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Easy
"If 3 workers finish a task in 6 days, how many worker-days are needed?",16,23,20,18,18,Puzzle,Medium
What is 69 + 52?,124,119,121,128,121,Quantitative,Hard
What is the square of 20?,405,399,401,400,400,Quantitative,Hard
"Find the next letter in the series: R, S, T, ?",T,W,V,U,U,Logical,Easy
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Hard
"If 9 workers finish a task in 8 days, how many worker-days are needed?",70,74,72,77,72,Puzzle,Hard
What is 45 + 43?,88,86,91,95,88,Quantitative,Hard
What is the square of 11?,122,120,121,126,121,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",R,T,Q,S,R,Logical,Hard
Choose the synonym of 'benefit'.,late,advantage,small,weak,advantage,Verbal,Medium
"If 8 workers finish a task in 10 days, how many worker-days are needed?",78,85,80,82,80,Puzzle,Medium
What is 76 + 56?,135,132,130,139,132,Quantitative,Hard
What is the square of 15?,224,226,225,230,225,Quantitative,Medium
"Find the next letter in the series: D, E, F, ?",I,G,F,H,G,Logical,Medium
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Easy
"If 10 workers finish a task in 3 days, how many worker-days are needed?",28,35,32,30,30,Puzzle,Hard
What is 56 + 74?,137,130,133,128,130,Quantitative,Hard
What is the square of 5?,26,24,30,25,25,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",O,Q,P,N,O,Logical,Easy
Choose the synonym of 'rapid'.,fast,late,weak,small,fast,Verbal,Hard
"If 2 workers finish a task in 8 days, how many worker-days are needed?",16,18,14,21,16,Puzzle,Easy
What is 64 + 54?,125,121,116,118,118,Quantitative,Hard
What is the square of 11?,122,121,126,120,121,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",Q,T,R,S,R,Logical,Medium
Choose the synonym of 'bright'.,late,small,weak,smart,smart,Verbal,Hard
"If 4 workers finish a task in 8 days, how many worker-days are needed?",34,30,37,32,32,Puzzle,Hard
What is 16 + 49?,72,68,63,65,65,Quantitative,Medium
What is the square of 9?,82,81,86,80,81,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",Q,T,R,S,R,Logical,Hard
Choose the synonym of 'honest'.,late,small,truthful,weak,truthful,Verbal,Hard
"If 3 workers finish a task in 5 days, how many worker-days are needed?",15,13,20,17,15,Puzzle,Hard
What is 31 + 76?,110,107,114,105,107,Quantitative,Hard
What is the square of 3?,10,14,8,9,9,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",G,F,D,E,E,Logical,Medium
Choose the synonym of 'honest'.,weak,truthful,small,late,truthful,Verbal,Hard
"If 5 workers finish a task in 8 days, how many worker-days are needed?",40,38,42,45,40,Puzzle,Hard
What is 96 + 38?,134,137,132,141,134,Quantitative,Medium
What is the square of 16?,257,261,256,255,256,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",O,Q,R,P,P,Logical,Easy
Choose the synonym of 'ancient'.,old,small,weak,late,old,Verbal,Medium
"If 4 workers finish a task in 10 days, how many worker-days are needed?",38,42,45,40,40,Puzzle,Easy
What is 51 + 14?,68,72,65,63,65,Quantitative,Easy
What is the square of 15?,225,224,230,226,225,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",U,S,T,V,T,Logical,Medium
Choose the synonym of 'benefit'.,late,advantage,small,weak,advantage,Verbal,Medium
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,61,56,54,56,Puzzle,Easy
What is 24 + 37?,59,68,64,61,61,Quantitative,Medium
What is the square of 9?,82,80,81,86,81,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",R,P,O,Q,P,Logical,Easy
Choose the synonym of 'rapid'.,small,weak,late,fast,fast,Verbal,Hard
"If 7 workers finish a task in 7 days, how many worker-days are needed?",47,51,54,49,49,Puzzle,Medium
What is 75 + 88?,163,166,170,161,163,Quantitative,Medium
What is the square of 10?,99,101,100,105,100,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",D,C,E,F,D,Logical,Easy
Choose the synonym of 'bright'.,small,smart,late,weak,smart,Verbal,Hard
"If 9 workers finish a task in 7 days, how many worker-days are needed?",63,61,68,65,63,Puzzle,Hard
What is 11 + 57?,68,75,66,71,68,Quantitative,Medium
What is the square of 18?,324,329,325,323,324,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",W,Y,X,Z,X,Logical,Hard
Choose the synonym of 'honest'.,late,truthful,weak,small,truthful,Verbal,Easy
"If 7 workers finish a task in 9 days, how many worker-days are needed?",61,68,65,63,63,Puzzle,Hard
What is 89 + 94?,190,186,183,181,183,Quantitative,Medium
What is the square of 5?,24,25,30,26,25,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",J,K,L,I,J,Logical,Medium
Choose the synonym of 'rapid'.,small,weak,late,fast,fast,Verbal,Hard
"If 5 workers finish a task in 8 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Medium
What is 20 + 96?,119,116,114,123,116,Quantitative,Medium
What is the square of 11?,121,126,120,122,121,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",V,W,U,T,U,Logical,Hard
Choose the synonym of 'bright'.,smart,late,small,weak,smart,Verbal,Hard
"If 4 workers finish a task in 5 days, how many worker-days are needed?",25,18,20,22,20,Puzzle,Easy
What is 35 + 51?,89,93,84,86,86,Quantitative,Medium
What is the square of 5?,24,26,30,25,25,Quantitative,Medium
"Find the next letter in the series: Q, R, S, ?",V,S,T,U,T,Logical,Easy
Choose the synonym of 'honest'.,truthful,weak,late,small,truthful,Verbal,Medium
"If 8 workers finish a task in 6 days, how many worker-days are needed?",50,53,48,46,48,Puzzle,Hard
What is 38 + 24?,60,65,62,69,62,Quantitative,Easy
What is the square of 19?,360,362,361,366,361,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",V,X,W,U,V,Logical,Medium
Choose the synonym of 'bright'.,small,weak,smart,late,smart,Verbal,Easy
"If 7 workers finish a task in 5 days, how many worker-days are needed?",33,40,37,35,35,Puzzle,Easy
What is 33 + 40?,80,71,73,76,73,Quantitative,Hard
What is the square of 18?,325,324,329,323,324,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",X,Y,W,Z,X,Logical,Medium
Choose the synonym of 'honest'.,truthful,weak,late,small,truthful,Verbal,Medium
"If 6 workers finish a task in 9 days, how many worker-days are needed?",52,59,56,54,54,Puzzle,Easy
What is 18 + 77?,95,98,102,93,95,Quantitative,Easy
What is the square of 16?,257,255,256,261,256,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",P,R,S,Q,Q,Logical,Easy
Choose the synonym of 'ancient'.,weak,old,late,small,old,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Easy
What is 64 + 54?,125,116,118,121,118,Quantitative,Easy
What is the square of 8?,65,63,69,64,64,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",Q,S,T,R,R,Logical,Easy
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Easy
"If 10 workers finish a task in 10 days, how many worker-days are needed?",100,98,105,102,100,Puzzle,Medium
What is 60 + 29?,87,96,89,92,89,Quantitative,Medium
What is the square of 16?,261,256,255,257,256,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",E,H,G,F,F,Logical,Medium
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Medium
"If 9 workers finish a task in 10 days, how many worker-days are needed?",88,95,92,90,90,Puzzle,Easy
What is 34 + 64?,101,96,98,105,98,Quantitative,Medium
What is the square of 18?,323,329,325,324,324,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,L,M,K,K,Logical,Easy
Choose the synonym of 'ancient'.,old,weak,late,small,old,Verbal,Hard
"If 6 workers finish a task in 4 days, how many worker-days are needed?",29,24,22,26,24,Puzzle,Hard
What is 81 + 23?,102,107,104,111,104,Quantitative,Easy
What is the square of 13?,174,170,168,169,169,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",K,H,J,I,I,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Medium
"If 9 workers finish a task in 3 days, how many worker-days are needed?",29,27,32,25,27,Puzzle,Easy
What is 50 + 55?,103,108,105,112,105,Quantitative,Easy
What is the square of 5?,24,25,30,26,25,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",M,P,N,O,N,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Medium
"If 4 workers finish a task in 3 days, how many worker-days are needed?",12,17,14,10,12,Puzzle,Medium
What is 28 + 53?,79,84,81,88,81,Quantitative,Hard
What is the square of 7?,50,48,49,54,49,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",L,M,K,J,K,Logical,Hard
Choose the synonym of 'benefit'.,weak,small,late,advantage,advantage,Verbal,Hard
"If 10 workers finish a task in 4 days, how many worker-days are needed?",38,42,40,45,40,Puzzle,Hard
What is 87 + 48?,135,133,138,142,135,Quantitative,Easy
What is the square of 19?,361,360,362,366,361,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",S,T,Q,R,R,Logical,Medium
Choose the synonym of 'rapid'.,weak,fast,late,small,fast,Verbal,Easy
"If 2 workers finish a task in 7 days, how many worker-days are needed?",14,19,16,12,14,Puzzle,Hard
What is 55 + 87?,142,140,145,149,142,Quantitative,Hard
What is the square of 20?,405,399,400,401,400,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",D,G,F,E,E,Logical,Hard
Choose the synonym of 'bright'.,late,smart,small,weak,smart,Verbal,Easy
"If 2 workers finish a task in 4 days, how many worker-days are needed?",6,8,13,10,8,Puzzle,Easy
What is 76 + 95?,171,178,169,174,171,Quantitative,Hard
What is the square of 6?,36,37,35,41,36,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",F,D,G,E,E,Logical,Medium
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Hard
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,27,25,23,25,Puzzle,Easy
What is 83 + 67?,150,153,148,157,150,Quantitative,Hard
What is the square of 10?,99,101,105,100,100,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",H,J,I,G,H,Logical,Medium
Choose the synonym of 'bright'.,weak,small,smart,late,smart,Verbal,Hard
"If 6 workers finish a task in 10 days, how many worker-days are needed?",58,65,60,62,60,Puzzle,Hard
What is 82 + 63?,152,148,143,145,145,Quantitative,Easy
What is the square of 20?,401,399,405,400,400,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",K,L,J,I,J,Logical,Hard
Choose the synonym of 'honest'.,small,late,weak,truthful,truthful,Verbal,Hard
"If 9 workers finish a task in 2 days, how many worker-days are needed?",20,23,18,16,18,Puzzle,Medium
What is 24 + 32?,59,54,63,56,56,Quantitative,Medium
What is the square of 4?,17,21,16,15,16,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",V,U,W,T,U,Logical,Medium
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Medium
"If 9 workers finish a task in 2 days, how many worker-days are needed?",20,18,23,16,18,Puzzle,Easy
What is 75 + 72?,145,154,147,150,147,Quantitative,Medium
What is the square of 15?,226,224,230,225,225,Quantitative,Easy
"Find the next letter in the series: J, K, L, ?",N,L,M,O,M,Logical,Medium
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Medium
"If 7 workers finish a task in 7 days, how many worker-days are needed?",51,49,47,54,49,Puzzle,Hard
What is 45 + 57?,100,105,109,102,102,Quantitative,Medium
What is the square of 17?,288,289,294,290,289,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",S,Q,R,T,R,Logical,Medium
Choose the synonym of 'honest'.,weak,late,small,truthful,truthful,Verbal,Medium
"If 2 workers finish a task in 3 days, how many worker-days are needed?",6,11,8,4,6,Puzzle,Medium
What is 87 + 61?,148,146,155,151,148,Quantitative,Easy
What is the square of 7?,48,54,49,50,49,Quantitative,Easy
"Find the next letter in the series: N, O, P, ?",S,Q,P,R,Q,Logical,Medium
Choose the synonym of 'bright'.,late,weak,smart,small,smart,Verbal,Hard
"If 9 workers finish a task in 5 days, how many worker-days are needed?",43,50,47,45,45,Puzzle,Medium
What is 31 + 19?,48,53,57,50,50,Quantitative,Hard
What is the square of 13?,169,170,168,174,169,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",T,U,S,R,S,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Hard
"If 2 workers finish a task in 6 days, how many worker-days are needed?",14,10,17,12,12,Puzzle,Medium
What is 31 + 48?,86,82,79,77,79,Quantitative,Hard
What is the square of 18?,324,329,325,323,324,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",S,T,V,U,T,Logical,Medium
Choose the synonym of 'bright'.,weak,smart,small,late,smart,Verbal,Easy
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,27,25,23,25,Puzzle,Hard
What is 56 + 29?,92,85,88,83,85,Quantitative,Easy
What is the square of 16?,257,255,261,256,256,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",M,L,O,N,M,Logical,Medium
Choose the synonym of 'benefit'.,small,weak,advantage,late,advantage,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",38,40,45,42,40,Puzzle,Medium
What is 99 + 82?,179,184,181,188,181,Quantitative,Hard
What is the square of 6?,37,36,41,35,36,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",O,N,P,M,N,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,late,small,advantage,Verbal,Hard
"If 2 workers finish a task in 5 days, how many worker-days are needed?",10,12,15,8,10,Puzzle,Hard
What is 34 + 63?,104,95,100,97,97,Quantitative,Hard
What is the square of 4?,16,17,15,21,16,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",T,R,S,Q,R,Logical,Medium
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Medium
"If 3 workers finish a task in 4 days, how many worker-days are needed?",17,14,10,12,12,Puzzle,Hard
What is 32 + 95?,134,127,125,130,127,Quantitative,Easy
What is the square of 20?,399,400,405,401,400,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",S,R,T,Q,R,Logical,Easy
Choose the synonym of 'honest'.,late,small,weak,truthful,truthful,Verbal,Easy
"If 9 workers finish a task in 8 days, how many worker-days are needed?",74,70,77,72,72,Puzzle,Easy
What is 59 + 53?,110,119,115,112,112,Quantitative,Medium
What is the square of 16?,256,257,261,255,256,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",W,Y,X,V,W,Logical,Medium
Choose the synonym of 'honest'.,small,late,truthful,weak,truthful,Verbal,Medium
"If 5 workers finish a task in 3 days, how many worker-days are needed?",20,17,13,15,15,Puzzle,Medium
What is 52 + 24?,76,83,74,79,76,Quantitative,Easy
What is the square of 3?,9,14,8,10,9,Quantitative,Easy
"Find the next letter in the series: D, E, F, ?",F,G,H,I,G,Logical,Medium
Choose the synonym of 'ancient'.,small,late,weak,old,old,Verbal,Hard
"If 9 workers finish a task in 3 days, how many worker-days are needed?",25,27,32,29,27,Puzzle,Hard
What is 85 + 86?,171,174,169,178,171,Quantitative,Hard
What is the square of 17?,288,290,289,294,289,Quantitative,Easy
